Aspect ID,Year,Aspect,Code
Prep-AS-4617,Prep/Foundation,"Students listen to texts, interact with others and create short spoken texts, including retelling stories.","AC9EFLA01, AC9EFLE05, AC9EFLY02, AC9EFLY05, AC9EFLY07"
Prep-AS-1020,Prep/Foundation,"They create short written texts, including retelling stories using words and images where appropriate.","AC9EFLA04, AC9EFLA05, AC9EFLA06, AC9EFLA07, AC9EFLE05, AC9EFLY06"
Prep-AS-4505,Prep/Foundation,"They form letters, spell most consonant–vowel–consonant words and experiment with capital letters and full stops.","AC9EFLA09, AC9EFLY06, AC9EFLY08, AC9EFLY12, AC9EFLY13, AC9EFLY14"
Prep-AS-9779,Prep/Foundation,They identify the language features of texts including connections between print and images.,"AC9EFLA03, AC9EFLA04, AC9EFLA05, AC9EFLA06, AC9EFLA07, AC9EFLA08, AC9EFLA09, AC9EFLE03, AC9EFLY01, AC9EFLY03"
Prep-AS-3220,Prep/Foundation,"They listen for and identify rhymes, letter patterns and sounds (phonemes) in words.","AC9EFLE04, AC9EFLY09"
Prep-AS-4930,Prep/Foundation,They name the letters of the English alphabet and know and use the most common sounds (phonemes) represented by these letters (graphs).,"AC9EFLY11, AC9EFLY13"
Prep-AS-857,Prep/Foundation,They orally blend and segment phonemes in single-syllable words.,AC9EFLY10
Prep-AS-132,Prep/Foundation,They read words including consonant–vowel–consonant words and some high-frequency words.,"AC9EFLY12, AC9EFLY14, AC9EFLY15"
Prep-AS-8043,Prep/Foundation,"They read, view and comprehend texts, making connections between characters, settings and events, and to personal experiences.","AC9EFLA07, AC9EFLA08, AC9EFLE01, AC9EFLE02, AC9EFLE03, AC9EFLY01, AC9EFLY03, AC9EFLY04, AC9EFLY05"
Prep-AS-4200,Prep/Foundation,"They retell, report information and state their thoughts, feelings and key ideas.","AC9EFLA05, AC9EFLA06, AC9EFLA07, AC9EFLE02, AC9EFLE05, AC9EFLY06"
Prep-AS-6759,Prep/Foundation,"They share thoughts and preferences, retell events and report information or key ideas to an audience.","AC9EFLA02, AC9EFLE01, AC9EFLE02, AC9EFLY02, AC9EFLY07"
